state,year,civilian_labor_force_population,unemployed
Alabama,1976,1501284 ,102204 
Alaska,1976,163570 ,12380 
Arizona,1976,987060 ,96072 
Arkansas,1976,891608 ,62214 
California,1976,9899372 ,905081 
Colorado,1976,1241819 ,72352 
Connecticut,1976,1455740 ,135230 
Delaware,1976,264791 ,23177 
District of Columbia,1976,335284 ,30177 
Florida,1976,3602310 ,330245 
Georgia,1976,2273932 ,186345 
Hawaii,1976,409847 ,38503 
Idaho,1976,373138 ,20767 
Illinois,1976,5149989 ,341491 
Indiana,1976,2434546 ,147546 
Iowa,1976,1338074 ,53587 
Kansas,1976,1071376 ,45189 
Kentucky,1976,1494225 ,80656 
Louisiana,1976,1527236 ,102381 
Maine,1976,477001 ,41398 
Maryland,1976,1916398 ,126952 
Massachusetts,1976,2721867 ,261772 
Michigan,1976,3993535 ,375174 
Minnesota,1976,1852393 ,108222 
Mississippi,1976,969878 ,63744 
Missouri,1976,2122679 ,132426 
Montana,1976,330284 ,19670 
Nebraska,1976,719847 ,23165 
Nevada,1976,328862 ,28872 
New Hampshire,1976,397632 ,25946 
New Jersey,1976,3308854 ,344369 
New Mexico,1976,482382 ,42724 
New York,1976,7692561 ,787192 
North Carolina,1976,2609782 ,163395 
North Dakota,1976,278686 ,10292 
Ohio,1976,4755748 ,370143 
Oklahoma,1976,1187330 ,67792 
Oregon,1976,1090242 ,102166 
Pennsylvania,1976,5125768 ,408119 
Rhode Island,1976,436975 ,35941 
South Carolina,1976,1296233 ,93562 
South Dakota,1976,309906 ,10086 
Tennessee,1976,1856518 ,113044 
Texas,1976,5710482 ,329233 
Utah,1976,527232 ,29529 
Vermont,1976,216308 ,18014 
Virginia,1976,2340718 ,137226 
Washington,1976,1618814 ,143938 
West Virginia,1976,697869 ,51158 
Wisconsin,1976,2142236 ,118865 
Wyoming,1976,179878 ,7138 
Alabama,1977,1568504 ,114723 
Alaska,1977,173013 ,17065 
Arizona,1977,1042116 ,85510 
Arkansas,1977,930260 ,60278 
California,1977,10382340 ,863997 
Colorado,1977,1292960 ,82131 
Connecticut,1977,1484885 ,103913 
Delaware,1977,272833 ,23101 
District of Columbia,1977,330279 ,30245 
Florida,1977,3724245 ,304258 
Georgia,1977,2332184 ,160750 
Hawaii,1977,416882 ,32833 
Idaho,1977,397769 ,22947 
Illinois,1977,5281924 ,326705 
Indiana,1977,2490170 ,144354 
Iowa,1977,1384889 ,53945 
Kansas,1977,1105749 ,43253 
Kentucky,1977,1536657 ,74313 
Louisiana,1977,1599156 ,113203 
Maine,1977,479869 ,39596 
Maryland,1977,1973483 ,124512 
Massachusetts,1977,2763250 ,214898 
Michigan,1977,4109934 ,337654 
Minnesota,1977,1915838 ,100825 
Mississippi,1977,995545 ,72758 
Missouri,1977,2217870 ,133551 
Montana,1977,348883 ,21965 
Nebraska,1977,741279 ,25534 
Nevada,1977,350339 ,23484 
New Hampshire,1977,418365 ,22772 
New Jersey,1977,3383863 ,316748 
New Mexico,1977,513455 ,39166 
New York,1977,7731387 ,706618 
North Carolina,1977,2688807 ,158598 
North Dakota,1977,287162 ,13047 
Ohio,1977,4833856 ,316158 
Oklahoma,1977,1234371 ,60828 
Oregon,1977,1156384 ,85967 
Pennsylvania,1977,5204966 ,399120 
Rhode Island,1977,446289 ,35830 
South Carolina,1977,1326618 ,91111 
South Dakota,1977,317559 ,10425 
Tennessee,1977,1939384 ,121152 
Texas,1977,5950809 ,317542 
Utah,1977,545853 ,28023 
Vermont,1977,228284 ,15933 
Virginia,1977,2406419 ,131411 
Washington,1977,1696825 ,143497 
West Virginia,1977,711266 ,48964 
Wisconsin,1977,2187868 ,111645 
Wyoming,1977,194801 ,6598 
Alabama,1978,1621710 ,103401 
Alaska,1978,182111 ,19381 
Arizona,1978,1082446 ,65267 
Arkansas,1978,952308 ,58797 
California,1978,10905557 ,780480 
Colorado,1978,1347646 ,74685 
Connecticut,1978,1513504 ,78924 
Delaware,1978,277334 ,20563 
District of Columbia,1978,334729 ,27674 
Florida,1978,3962454 ,266552 
Georgia,1978,2410909 ,137939 
Hawaii,1978,418444 ,29592 
Idaho,1978,416943 ,22694 
Illinois,1978,5422862 ,324803 
Indiana,1978,2590145 ,144760 
Iowa,1978,1418036 ,54791 
Kansas,1978,1139699 ,35558 
Kentucky,1978,1583514 ,81480 
Louisiana,1978,1668701 ,113166 
Maine,1978,483755 ,31033 
Maryland,1978,2044558 ,112475 
Massachusetts,1978,2813748 ,174850 
Michigan,1978,4208346 ,294219 
Minnesota,1978,1971339 ,76198 
Mississippi,1978,1012078 ,70198 
Missouri,1978,2254477 ,110777 
Montana,1978,366065 ,20917 
Nebraska,1978,754549 ,23698 
Nevada,1978,373494 ,16658 
New Hampshire,1978,434779 ,16624 
New Jersey,1978,3467250 ,251557 
New Mexico,1978,538014 ,31939 
New York,1978,7847918 ,608319 
North Carolina,1978,2764219 ,123772 
North Dakota,1978,293863 ,12497 
Ohio,1978,4950642 ,270399 
Oklahoma,1978,1270542 ,45860 
Oregon,1978,1216053 ,73510 
Pennsylvania,1978,5304589 ,367918 
Rhode Island,1978,450847 ,29555 
South Carolina,1978,1353561 ,77550 
South Dakota,1978,326810 ,10077 
Tennessee,1978,1977234 ,115196 
Texas,1978,6209219 ,299381 
Utah,1978,567238 ,21569 
Vermont,1978,239606 ,13424 
Virginia,1978,2491973 ,131553 
Washington,1978,1809342 ,123974 
West Virginia,1978,738077 ,45578 
Wisconsin,1978,2261573 ,112955 
Wyoming,1978,209688 ,6284 
Alabama,1979,1656358 ,118762 
Alaska,1979,183807 ,17077 
Arizona,1979,1152471 ,58484 
Arkansas,1979,984461 ,61090 
California,1979,11279488 ,704632 
Colorado,1979,1429392 ,67857 
Connecticut,1979,1562654 ,80218 
Delaware,1979,280816 ,20299 
District of Columbia,1979,328952 ,23148 
Florida,1979,4135752 ,245372 
Georgia,1979,2467596 ,126174 
Hawaii,1979,425536 ,25889 
Idaho,1979,429329 ,24959 
Illinois,1979,5448408 ,301224 
Indiana,1979,2636428 ,170853 
Iowa,1979,1421489 ,59810 
Kansas,1979,1169991 ,37727 
Kentucky,1979,1616350 ,89514 
Louisiana,1979,1726798 ,113729 
Maine,1979,497657 ,33806 
Maryland,1979,2111836 ,122051 
Massachusetts,1979,2852892 ,157143 
Michigan,1979,4302204 ,334533 
Minnesota,1979,2046335 ,86398 
Mississippi,1979,1028571 ,59096 
Missouri,1979,2280920 ,109732 
Montana,1979,371332 ,19197 
Nebraska,1979,765089 ,23250 
Nevada,1979,400795 ,19779 
New Hampshire,1979,452147 ,14467 
New Jersey,1979,3572955 ,247434 
New Mexico,1979,556087 ,35515 
New York,1979,7997062 ,572868 
North Carolina,1979,2810807 ,133695 
North Dakota,1979,299850 ,12024 
Ohio,1979,5055136 ,295230 
Oklahoma,1979,1311532 ,44479 
Oregon,1979,1253483 ,83884 
Pennsylvania,1979,5384412 ,368835 
Rhode Island,1979,460738 ,29514 
South Carolina,1979,1371335 ,68882 
South Dakota,1979,332946 ,11201 
Tennessee,1979,2043202 ,119339 
Texas,1979,6470105 ,279580 
Utah,1979,604729 ,26196 
Vermont,1979,244838 ,12607 
Virginia,1979,2536127 ,120292 
Washington,1979,1930439 ,128362 
West Virginia,1979,770530 ,53447 
Wisconsin,1979,2325984 ,106075 
Wyoming,1979,223061 ,6091 
Alabama,1980,1669289 ,148106 
Alaska,1980,187405 ,18008 
Arizona,1980,1228001 ,81630 
Arkansas,1980,998280 ,75386 
California,1980,11579052 ,791379 
Colorado,1980,1491648 ,86267 
Connecticut,1980,1588290 ,92202 
Delaware,1980,283955 ,21571 
District of Columbia,1980,321997 ,23736 
Florida,1980,4274346 ,259581 
Georgia,1980,2533586 ,160196 
Hawaii,1980,438848 ,22051 
Idaho,1980,428739 ,32291 
Illinois,1980,5554539 ,452846 
Indiana,1980,2625544 ,253333 
Iowa,1980,1435156 ,86301 
Kansas,1980,1187425 ,52811 
Kentucky,1980,1658824 ,131904 
Louisiana,1980,1786701 ,122392 
Maine,1980,505963 ,38574 
Maryland,1980,2148225 ,141183 
Massachusetts,1980,2868271 ,161636 
Michigan,1980,4303606 ,530409 
Minnesota,1980,2104800 ,121479 
Mississippi,1980,1056820 ,78483 
Missouri,1980,2306044 ,166196 
Montana,1980,375691 ,22991 
Nebraska,1980,769921 ,30249 
Nevada,1980,429584 ,26506 
New Hampshire,1980,466658 ,21127 
New Jersey,1980,3591520 ,257680 
New Mexico,1980,566057 ,42881 
New York,1980,7974354 ,595598 
North Carolina,1980,2853983 ,182511 
North Dakota,1980,303355 ,14955 
Ohio,1980,5087387 ,425069 
Oklahoma,1980,1370727 ,60705 
Oregon,1980,1298181 ,110033 
Pennsylvania,1980,5435928 ,436264 
Rhode Island,1980,468996 ,33863 
South Carolina,1980,1404592 ,94775 
South Dakota,1980,335049 ,16097 
Tennessee,1980,2081202 ,154751 
Texas,1980,6752517 ,347634 
Utah,1980,629827 ,39050 
Vermont,1980,250246 ,15474 
Virginia,1980,2560172 ,132000 
Washington,1980,1984675 ,160792 
West Virginia,1980,786225 ,74406 
Wisconsin,1980,2356163 ,169845 
Wyoming,1980,235940 ,9087 
Alabama,1981,1677652 ,177118 
Alaska,1981,196157 ,18354 
Arizona,1981,1271678 ,79301 
Arkansas,1981,1023163 ,89397 
California,1981,11829789 ,876177 
Colorado,1981,1539314 ,88396 
Connecticut,1981,1596437 ,98628 
Delaware,1981,287919 ,22571 
District of Columbia,1981,306560 ,27330 
Florida,1981,4527425 ,302650 
Georgia,1981,2600075 ,166074 
Hawaii,1981,450177 ,24374 
Idaho,1981,430350 ,33334 
Illinois,1981,5592209 ,477726 
Indiana,1981,2617959 ,258566 
Iowa,1981,1426591 ,93758 
Kansas,1981,1187080 ,51162 
Kentucky,1981,1665577 ,143678 
Louisiana,1981,1854541 ,155514 
Maine,1981,509975 ,37520 
Maryland,1981,2171319 ,157849 
Massachusetts,1981,2941642 ,190449 
Michigan,1981,4302873 ,534679 
Minnesota,1981,2122138 ,123146 
Mississippi,1981,1059321 ,90050 
Missouri,1981,2321961 ,177443 
Montana,1981,385038 ,26352 
Nebraska,1981,775186 ,32876 
Nevada,1981,463175 ,33347 
New Hampshire,1981,477481 ,24596 
New Jersey,1981,3605102 ,268052 
New Mexico,1981,578162 ,42138 
New York,1981,8022783 ,609893 
North Carolina,1981,2911968 ,189329 
North Dakota,1981,309566 ,14938 
Ohio,1981,5105836 ,481475 
Oklahoma,1981,1438610 ,52315 
Oregon,1981,1332668 ,130426 
Pennsylvania,1981,5478375 ,459309 
Rhode Island,1981,475921 ,36943 
South Carolina,1981,1440956 ,117019 
South Dakota,1981,334385 ,16578 
Tennessee,1981,2109072 ,188815 
Texas,1981,7061470 ,374501 
Utah,1981,647080 ,42414 
Vermont,1981,257581 ,14948 
Virginia,1981,2607554 ,156817 
Washington,1981,1997449 ,190781 
West Virginia,1981,786286 ,83046 
Wisconsin,1981,2378803 ,190599 
Wyoming,1981,249994 ,10132 
Alabama,1982,1716324 ,242181 
Alaska,1982,212806 ,21107 
Arizona,1982,1341767 ,135649 
Arkansas,1982,1024106 ,101552 
California,1982,12152372 ,1209561 
Colorado,1982,1595941 ,117152 
Connecticut,1982,1608804 ,110315 
Delaware,1982,294391 ,24668 
District of Columbia,1982,307539 ,32112 
Florida,1982,4729458 ,398564 
Georgia,1982,2655895 ,207672 
Hawaii,1982,458778 ,28962 
Idaho,1982,442756 ,43973 
Illinois,1982,5614249 ,637866 
Indiana,1982,2599391 ,311359 
Iowa,1982,1424383 ,121091 
Kansas,1982,1193568 ,74884 
Kentucky,1982,1683086 ,181559 
Louisiana,1982,1867571 ,192064 
Maine,1982,518584 ,43421 
Maryland,1982,2174978 ,180215 
Massachusetts,1982,2987137 ,230644 
Michigan,1982,4287138 ,659554 
Minnesota,1982,2153900 ,170390 
Mississippi,1982,1063553 ,117535 
Missouri,1982,2326378 ,214634 
Montana,1982,388809 ,33098 
Nebraska,1982,784839 ,44182 
Nevada,1982,482097 ,47643 
New Hampshire,1982,487036 ,33034 
New Jersey,1982,3626746 ,316765 
New Mexico,1982,595252 ,54855 
New York,1982,7978964 ,675669 
North Carolina,1982,2935666 ,269998 
North Dakota,1982,315885 ,17542 
Ohio,1982,5126857 ,651027 
Oklahoma,1982,1494118 ,89908 
Oregon,1982,1329233 ,153453 
Pennsylvania,1982,5492370 ,612633 
Rhode Island,1982,475945 ,46140 
South Carolina,1982,1478368 ,164050 
South Dakota,1982,331818 ,18136 
Tennessee,1982,2132868 ,250144 
Texas,1982,7376503 ,508537 
Utah,1982,673441 ,55171 
Vermont,1982,263223 ,18350 
Virginia,1982,2651253 ,197486 
Washington,1982,2023476 ,241777 
West Virginia,1982,782433 ,109240 
Wisconsin,1982,2421495 ,254624 
Wyoming,1982,257381 ,15970 
Alabama,1983,1756953 ,242402 
Alaska,1983,231721 ,23008 
Arizona,1983,1386057 ,121881 
Arkansas,1983,1031664 ,101626 
California,1983,12293797 ,1203792 
Colorado,1983,1666793 ,118050 
Connecticut,1983,1619703 ,97257 
Delaware,1983,296258 ,22898 
District of Columbia,1983,316481 ,35544 
Florida,1983,4927448 ,418761 
Georgia,1983,2692349 ,208183 
Hawaii,1983,471578 ,29098 
Idaho,1983,453993 ,40590 
Illinois,1983,5603113 ,659820 
Indiana,1983,2583412 ,289075 
Iowa,1983,1422636 ,115466 
Kansas,1983,1188919 ,69705 
Kentucky,1983,1702034 ,194230 
Louisiana,1983,1908753 ,220155 
Maine,1983,535851 ,44484 
Maryland,1983,2197036 ,154107 
Massachusetts,1983,2996869 ,202403 
Michigan,1983,4291139 ,616196 
Minnesota,1983,2175118 ,174078 
Mississippi,1983,1060755 ,127980 
Missouri,1983,2357360 ,232536 
Montana,1983,396719 ,34231 
Nebraska,1983,787905 ,43848 
Nevada,1983,486023 ,46566 
New Hampshire,1983,498244 ,27412 
New Jersey,1983,3688776 ,295878 
New Mexico,1983,608731 ,58838 
New York,1983,8037315 ,696943 
North Carolina,1983,2945353 ,264337 
North Dakota,1983,320240 ,18120 
Ohio,1983,5097422 ,630145 
Oklahoma,1983,1541193 ,128943 
Oregon,1983,1334345 ,144051 
Pennsylvania,1983,5480516 ,630666 
Rhode Island,1983,476842 ,39566 
South Carolina,1983,1484428 ,146360 
South Dakota,1983,334537 ,17453 
Tennessee,1983,2179996 ,251469 
Texas,1983,7643814 ,605921 
Utah,1983,688079 ,59990 
Vermont,1983,264317 ,17003 
Virginia,1983,2721531 ,175482 
Washington,1983,2056817 ,228093 
West Virginia,1983,765479 ,136358 
Wisconsin,1983,2415317 ,247511 
Wyoming,1983,259713 ,21174 
Alabama,1984,1788133 ,197040 
Alaska,1984,245452 ,24144 
Arizona,1984,1431770 ,74154 
Arkansas,1984,1042889 ,90875 
California,1984,12637075 ,980488 
Colorado,1984,1715898 ,93288 
Connecticut,1984,1663064 ,77614 
Delaware,1984,307185 ,19326 
District of Columbia,1984,321549 ,29415 
Florida,1984,5161635 ,328979 
Georgia,1984,2769779 ,168746 
Hawaii,1984,472988 ,26859 
Idaho,1984,462704 ,33861 
Illinois,1984,5611290 ,506861 
Indiana,1984,2631866 ,225039 
Iowa,1984,1415875 ,98750 
Kansas,1984,1203358 ,58935 
Kentucky,1984,1704246 ,157927 
Louisiana,1984,1951326 ,196526 
Maine,1984,547680 ,34099 
Maryland,1984,2240006 ,120206 
Massachusetts,1984,3037295 ,144552 
Michigan,1984,4337979 ,486398 
Minnesota,1984,2202696 ,138384 
Mississippi,1984,1076818 ,113420 
Missouri,1984,2386949 ,171009 
Montana,1984,401741 ,30479 
Nebraska,1984,792288 ,35444 
Nevada,1984,499664 ,39459 
New Hampshire,1984,520641 ,22366 
New Jersey,1984,3810874 ,235907 
New Mexico,1984,625064 ,48883 
New York,1984,8104569 ,580707 
North Carolina,1984,3029867 ,203831 
North Dakota,1984,326772 ,17241 
Ohio,1984,5096523 ,481880 
Oklahoma,1984,1559584 ,110050 
Oregon,1984,1328665 ,125178 
Pennsylvania,1984,5495136 ,498989 
Rhode Island,1984,487592 ,26857 
South Carolina,1984,1504924 ,103888 
South Dakota,1984,341952 ,14968 
Tennessee,1984,2224347 ,190162 
Texas,1984,7840165 ,480012 
Utah,1984,704638 ,45574 
Vermont,1984,268562 ,13633 
Virginia,1984,2817037 ,143367 
Washington,1984,2064244 ,191599 
West Virginia,1984,764756 ,113120 
Wisconsin,1984,2392021 ,176208 
Wyoming,1984,254140 ,15893 
Alabama,1985,1802728 ,164977 
Alaska,1985,252127 ,24434 
Arizona,1985,1487075 ,94419 
Arkansas,1985,1047947 ,91000 
California,1985,12982818 ,931200 
Colorado,1985,1714199 ,103915 
Connecticut,1985,1710255 ,80961 
Delaware,1985,316652 ,16284 
District of Columbia,1985,323655 ,26364 
Florida,1985,5342656 ,319278 
Georgia,1985,2877663 ,184833 
Hawaii,1985,479158 ,25788 
Idaho,1985,466588 ,36730 
Illinois,1985,5672208 ,513554 
Indiana,1985,2710413 ,211261 
Iowa,1985,1413046 ,105623 
